"","id","kistelepules","total","fidesz","ellenzek","is_fidesz","is_ellenzek","megyeid","megye","telepid","telep","oevk","szavazokor","ervenyes","ervenytelen","part","values"
"57","csörötnek-001",1,2,1,0,1,"nincs ellenzéki",18,"VAS",31,"Csörötnek",3,"001",425,0.0116279069767442,"fidesz",0.697674418604651
"58","dabrony-001",1,2,1,0,1,"nincs ellenzéki",19,"VESZPRÉM",53,"Dabrony",4,"001",172,0.0114942528735632,"fidesz",0.689655172413793
"59","daraboshegy-001",1,2,1,0,1,"nincs ellenzéki",18,"VAS",32,"Daraboshegy",3,"001",55,0.0350877192982456,"fidesz",0.578947368421053
"60","darnó-001",1,2,1,0,1,"nincs ellenzéki",16,"SZABOLCS-SZATMÁR-BEREG",28,"Darnó",4,"001",68,0.0285714285714286,"fidesz",0.9
"61","dédestapolcsány-001",1,2,1,0,1,"nincs ellenzéki",5,"BORSOD-ABAÚJ-ZEMPLÉN",71,"Dédestapolcsány",4,"001",756,0.0104712041884817,"fidesz",0.399214659685864
"62","diósberény-001",1,2,0,1,0,"van ellenzéki",17,"TOLNA",19,"Diósberény",2,"001",164,0.0681818181818182,"fidesz",0.511363636363636
"63","dobronhegy-001",1,2,1,0,1,"nincs ellenzéki",20,"ZALA",44,"Dobronhegy",1,"001",97,0.03,"fidesz",0.67
"64","döbrönte-001",1,2,1,0,1,"nincs ellenzéki",19,"VESZPRÉM",57,"Döbrönte",4,"001",170,0.00584795321637427,"fidesz",0.543859649122807
"65","döröske-001",1,2,1,0,1,"nincs ellenzéki",18,"VAS",35,"Döröske",3,"001",58,0.0169491525423729,"fidesz",0.813559322033898
"66","dövény-001",1,2,1,0,1,"nincs ellenzéki",5,"BORSOD-ABAÚJ-ZEMPLÉN",73,"Dövény",3,"001",154,0.0191082802547771,"fidesz",0.662420382165605
"67","drávacsepely-001",1,2,0,1,0,"van ellenzéki",2,"BARANYA",55,"Drávacsepely",4,"001",105,0.0540540540540541,"fidesz",0.603603603603604
"68","drávagárdony-001",1,2,1,0,1,"nincs ellenzéki",15,"SOMOGY",47,"Drávagárdony",2,"001",75,0.025974025974026,"fidesz",0.571428571428571
"69","duka-001",1,2,1,0,1,"nincs ellenzéki",18,"VAS",36,"Duka",3,"001",123,0.00806451612903226,"fidesz",0.653225806451613
"70","dunaremete-001",1,2,1,0,1,"nincs ellenzéki",8,"GYOR-MOSON-SOPRON",32,"Dunaremete",5,"001",147,0.02,"fidesz",0.573333333333333
"71","dúzs-001",1,2,1,0,1,"nincs ellenzéki",17,"TOLNA",24,"Dúzs",2,"001",120,0.024390243902439,"fidesz",0.569105691056911
"72","ebergoc-001",1,2,1,0,1,"nincs ellenzéki",8,"GYOR-MOSON-SOPRON",36,"Ebergoc",4,"001",95,0.0104166666666667,"fidesz",0.645833333333333
"73","edde-001",1,2,0,1,0,"van ellenzéki",15,"SOMOGY",50,"Edde",3,"001",86,0.0114942528735632,"fidesz",0.758620689655172
"74","egerág-001",1,2,1,0,1,"nincs ellenzéki",2,"BARANYA",65,"Egerág",3,"001",545,0.00728597449908925,"fidesz",0.41712204007286
"75","égerszög-001",1,2,1,0,1,"nincs ellenzéki",5,"BORSOD-ABAÚJ-ZEMPLÉN",81,"Égerszög",3,"001",38,0.0256410256410256,"fidesz",0.58974358974359
"76","egyházaskeszo-001",1,2,1,0,1,"nincs ellenzéki",19,"VESZPRÉM",61,"Egyházaskeszo",4,"001",214,0.0138248847926267,"fidesz",0.626728110599078
"77","ellend-001",1,2,1,0,1,"nincs ellenzéki",2,"BARANYA",68,"Ellend",2,"001",129,0.0152671755725191,"fidesz",0.511450381679389
"78","enese-001",1,2,1,0,1,"nincs ellenzéki",8,"GYOR-MOSON-SOPRON",40,"Enese",3,"001",982,0.0100806451612903,"fidesz",0.633064516129032
"79","fancsal-001",1,2,1,0,1,"nincs ellenzéki",5,"BORSOD-ABAÚJ-ZEMPLÉN",82,"Fancsal",4,"001",201,0.0195121951219512,"fidesz",0.44390243902439
"80","felpéc-001",1,2,1,0,1,"nincs ellenzéki",8,"GYOR-MOSON-SOPRON",45,"Felpéc",2,"001",520,0.00763358778625954,"fidesz",0.58206106870229
"81","felsokelecsény-001",1,2,1,0,1,"nincs ellenzéki",5,"BORSOD-ABAÚJ-ZEMPLÉN",88,"Felsokelecsény",3,"001",170,0.0229885057471264,"fidesz",0.385057471264368
"82","felsoszölnök-001",1,2,1,0,1,"nincs ellenzéki",18,"VAS",44,"Felsoszölnök",3,"001",315,0.0125391849529781,"fidesz",0.64576802507837
"83","felsovadász-001",1,2,1,0,1,"nincs ellenzéki",5,"BORSOD-ABAÚJ-ZEMPLÉN",92,"Felsovadász",4,"001",183,0.128571428571429,"fidesz",0.533333333333333
"84","fenyofo-001",1,2,1,0,1,"nincs ellenzéki",8,"GYOR-MOSON-SOPRON",46,"Fenyofo",2,"001",68,0.0422535211267606,"fidesz",0.492957746478873
"85","fertoendréd-001",1,2,1,0,1,"nincs ellenzéki",8,"GYOR-MOSON-SOPRON",49,"Fertoendréd",3,"001",389,0.0076530612244898,"fidesz",0.604591836734694
"86","filkeháza-001",1,2,1,0,1,"nincs ellenzéki",5,"BORSOD-ABAÚJ-ZEMPLÉN",94,"Filkeháza",5,"001",65,0.0298507462686567,"fidesz",0.522388059701492
"87","fityeház-001",1,2,1,0,1,"nincs ellenzéki",20,"ZALA",54,"Fityeház",3,"001",354,0.0111731843575419,"fidesz",0.575418994413408
"88","fulókércs-001",1,2,1,0,1,"nincs ellenzéki",5,"BORSOD-ABAÚJ-ZEMPLÉN",97,"Fulókércs",5,"001",116,0.0569105691056911,"fidesz",0.642276422764228
"89","fuzvölgy-001",1,2,1,0,1,"nincs ellenzéki",20,"ZALA",55,"Fuzvölgy",3,"001",85,0.0229885057471264,"fidesz",0.482758620689655
"90","gáborjánháza-001",1,2,1,0,1,"nincs ellenzéki",20,"ZALA",58,"Gáborjánháza",1,"001",42,0.0232558139534884,"fidesz",0.720930232558139
"91","gadna-001",1,2,1,0,1,"nincs ellenzéki",5,"BORSOD-ABAÚJ-ZEMPLÉN",102,"Gadna",4,"001",118,0.0166666666666667,"fidesz",0.883333333333333
